,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
78,78,0.32730033119856916,0.3,0,383.0,845.0,0.0,412.0,1,0.3514089532798312,0.3514089532798312
79,79,0.19410449700820975,0.2,0,430.0,632.0,0.0,538.0,1,0.17508239193263653,0.17508239193263653
80,80,0.46234434320537066,0.5,0,451.0,879.0,0.0,210.0,1,0.1925075150357874,0.1925075150357874
81,81,0.07841833497532336,0.1,0,315.0,772.0,1.0,2153.0,0,0.14066886741135448,0.14066886741135448
82,82,-0.6393529782123462,-0.6,1,419.0,841.0,1.0,180.0,1,0.10878088628739174,0.10878088628739174
83,83,0.6563605624947981,0.7,0,283.0,680.0,0.0,277.0,1,0.31187677086891513,0.31187677086891513
84,84,-0.7067391606920788,-0.7,1,365.0,540.0,1.0,295.0,1,0.38438415840244455,0.38438415840244455
85,85,0.19455036460241404,0.2,0,299.0,798.0,0.0,463.0,1,0.2658235191119456,0.2658235191119456
86,86,0.8808810480550151,0.9,0,434.0,799.0,0.0,347.0,1,0.48475684136301145,0.48475684136301145
87,87,-0.1648243058533061,-0.2,1,366.0,803.0,1.0,1131.0,1,0.3792164898675178,0.3792164898675178
88,88,-0.35600832223439305,-0.4,1,290.0,508.0,1.0,512.0,1,0.2663475009663583,0.2663475009663583
89,89,0.3885569099004056,0.4,0,288.0,964.0,0.0,888.0,1,0.0788453530124586,0.0788453530124586
90,90,0.3138276660488519,0.3,0,258.0,739.0,0.0,313.0,1,0.08318279866428818,0.08318279866428818
91,91,-0.04055638308677567,-0.0,1,398.0,883.0,1.0,1419.0,1,0.04204606055902299,0.04204606055902299
92,92,-0.9492707928497057,-0.9,1,482.0,708.0,1.0,220.0,1,0.46422343029941304,0.46422343029941304
93,93,0.6320621558137269,0.6,0,470.0,872.0,0.0,288.0,1,0.10273641189264271,0.10273641189264271
94,94,0.18009727078259763,0.2,0,480.0,930.0,0.0,740.0,1,0.47184716791271103,0.47184716791271103
95,95,-0.22617825294362048,-0.2,1,380.0,661.0,1.0,1189.0,1,0.027103973309428264,0.027103973309428264
96,96,-0.022378051875778793,-0.0,1,250.0,967.0,0.0,1293.0,0,0.22970530327478073,0.22970530327478073
97,97,-0.902604129444293,-0.9,1,396.0,947.0,1.0,297.0,1,0.04721667737180274,0.04721667737180274
98,98,0.7004604316700611,0.7,0,421.0,626.0,0.0,453.0,1,0.007744337493644393,0.007744337493644393
99,99,-0.9890450968356457,-1.0,1,345.0,853.0,1.0,252.0,1,0.07722799665714897,0.07722799665714897
100,100,0.3389228628640586,0.3,0,404.0,919.0,0.0,1487.0,1,0.15417856033964583,0.15417856033964583
101,101,-0.8814381434577947,-0.9,1,250.0,737.0,1.0,353.0,1,0.39323532086559176,0.39323532086559176
102,102,-0.4138404923557746,-0.4,1,448.0,864.0,1.0,358.0,1,0.23174647532255416,0.23174647532255416
103,103,-0.7150974064681612,-0.7,1,471.0,544.0,1.0,215.0,1,0.0771096683674991,0.0771096683674991
