,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
139,139,-0.13042818520877608,-0.1,1,486.0,555.0,1.0,1149.0,1,0.0,0.0
140,140,0.7167634923782211,0.7,0,277.0,774.0,0.0,349.0,1,0.0,0.0
141,141,-0.052631143795651036,-0.1,1,406.0,542.0,1.0,2162.0,1,0.0,0.0
142,142,0.5058219990903945,0.5,0,431.0,670.0,0.0,359.0,1,0.0,0.0
143,143,0.19544048459519292,0.2,0,490.0,920.0,0.0,460.0,1,0.0,0.0
144,144,0.12643113014753493,0.1,0,449.0,969.0,1.0,1212.0,0,0.0,0.0
145,145,-0.03608715669753004,-0.0,1,315.0,768.0,1.0,477.0,1,0.0,0.0
146,146,0.6886977205867155,0.7,0,335.0,862.0,0.0,653.0,1,0.0,0.0
147,147,-0.47226180052806677,-0.5,1,318.0,888.0,1.0,764.0,1,0.0,0.0
148,148,0.6430107074221507,0.6,0,339.0,615.0,0.0,206.0,1,0.0,0.0
149,149,0.3034546794103845,0.3,0,467.0,676.0,0.0,377.0,1,0.0,0.0
150,150,-0.43462139439094916,-0.4,1,416.0,812.0,1.0,552.0,1,0.0,0.0
151,151,0.5708733567093967,0.6,0,449.0,572.0,0.0,399.0,1,0.0,0.0
152,152,-0.21764709937539317,-0.2,1,397.0,983.0,1.0,530.0,1,0.0,0.0
153,153,0.6093851927761642,0.6,0,497.0,667.0,0.0,416.0,1,0.0,0.0
154,154,-0.24846956361258132,-0.2,1,460.0,753.0,1.0,477.0,1,0.0,0.0
155,155,-0.6303767253530017,-0.6,1,411.0,804.0,1.0,365.0,1,0.0,0.0
156,156,0.721121653696996,0.7,0,339.0,895.0,0.0,426.0,1,0.0,0.0
157,157,-0.023663074026068598,-0.0,1,315.0,780.0,0.0,3905.0,0,0.0,0.0
158,158,-0.6289388675745524,-0.6,1,409.0,771.0,1.0,320.0,1,0.0,0.0
159,159,0.8091629988133271,0.8,0,284.0,924.0,0.0,372.0,1,0.0,0.0
160,160,0.03752633906994207,0.0,0,446.0,584.0,1.0,2720.0,0,0.0,0.0
161,161,-0.0025708552761687375,-0.0,1,489.0,877.0,1.0,2874.0,1,0.0,0.0
162,162,0.24095131752572896,0.2,0,381.0,907.0,0.0,412.0,1,0.0,0.0
163,163,-0.9241063129747402,-0.9,1,301.0,687.0,1.0,502.0,1,0.0,0.0
164,164,-0.15550177803149356,-0.2,1,406.0,802.0,1.0,912.0,1,0.0,0.0
165,165,-0.4775846849871841,-0.5,1,486.0,938.0,1.0,416.0,1,0.0,0.0
166,166,-0.6162816000739846,-0.6,1,348.0,712.0,1.0,280.0,1,0.0,0.0
167,167,-0.06061464842410058,-0.1,1,446.0,543.0,1.0,1261.0,1,0.0,0.0
168,168,0.09442631576306848,0.1,0,380.0,643.0,1.0,957.0,0,0.0,0.0
169,169,-0.3198345495020274,-0.3,1,485.0,639.0,1.0,696.0,1,0.0,0.0
170,170,0.32571086241077984,0.3,0,421.0,759.0,0.0,1340.0,1,0.0,0.0
171,171,-0.32482227620668525,-0.3,1,415.0,957.0,1.0,958.0,1,0.0,0.0
172,172,-0.9919662235967672,-1.0,1,264.0,740.0,1.0,186.0,1,0.0,0.0
173,173,0.9595484424651028,1.0,0,390.0,518.0,0.0,502.0,1,0.0,0.0
174,174,-0.8313464001558697,-0.8,1,351.0,640.0,1.0,209.0,1,0.0,0.0
175,175,0.11944046046998702,0.1,0,250.0,510.0,1.0,2880.0,0,0.0,0.0
176,176,0.9563486372482621,1.0,0,264.0,868.0,0.0,368.0,1,0.0,0.0
177,177,-0.417178756529738,-0.4,1,458.0,716.0,1.0,1026.0,1,0.0,0.0
178,178,0.5012028157301149,0.5,0,455.0,899.0,0.0,316.0,1,0.0,0.0
179,179,0.9716835776263211,1.0,0,279.0,727.0,0.0,254.0,1,0.0,0.0
180,180,0.30706632498934683,0.3,0,376.0,989.0,0.0,565.0,1,0.0,0.0
181,181,0.11484589503304732,0.1,0,462.0,667.0,1.0,931.0,0,0.0,0.0
182,182,0.7639021735668372,0.8,0,290.0,840.0,0.0,220.0,1,0.0,0.0
183,183,-0.4875653119337433,-0.5,1,470.0,733.0,1.0,207.0,1,0.0,0.0
184,184,0.009955631994084557,0.0,0,401.0,934.0,1.0,955.0,0,0.0,0.0
185,185,0.5381861650080622,0.5,0,299.0,850.0,0.0,581.0,1,0.0,0.0
186,186,0.25418081203515497,0.3,0,284.0,546.0,0.0,180.0,1,0.0,0.0
187,187,-0.7307888742127746,-0.7,1,472.0,665.0,1.0,203.0,1,0.0,0.0
188,188,0.12785484629727795,0.1,0,338.0,653.0,0.0,2979.0,1,0.0,0.0
189,189,0.8174447626152028,0.8,0,435.0,672.0,0.0,223.0,1,0.0,0.0
190,190,0.08143836458016396,0.1,0,403.0,740.0,0.0,487.0,1,0.0,0.0
191,191,0.24057281218760496,0.2,0,363.0,609.0,0.0,688.0,1,0.0,0.0
192,192,0.6931873674467193,0.7,0,477.0,992.0,0.0,511.0,1,0.0,0.0
193,193,0.9054335107265372,0.9,0,258.0,790.0,0.0,392.0,1,0.0,0.0
194,194,0.6267433496700534,0.6,0,294.0,526.0,0.0,380.0,1,0.0,0.0
195,195,-0.6437177931655775,-0.6,1,333.0,854.0,1.0,2543.0,1,0.0,0.0
196,196,-0.6880418378490256,-0.7,1,362.0,592.0,1.0,516.0,1,0.0,0.0
197,197,-0.6267911711881562,-0.6,1,422.0,756.0,1.0,332.0,1,0.0,0.0
198,198,0.9446770932595367,0.9,0,438.0,712.0,0.0,370.0,1,0.0,0.0
199,199,0.13491379283026683,0.1,0,396.0,686.0,0.0,1068.0,1,0.0,0.0
200,200,-0.7810399842122391,-0.8,1,312.0,924.0,1.0,454.0,1,0.0,0.0
201,201,-0.7740454890145394,-0.8,1,361.0,769.0,1.0,380.0,1,0.0,0.0
202,202,0.34658729571401636,0.3,0,434.0,832.0,0.0,634.0,1,0.0,0.0
203,203,0.13459088421955046,0.1,0,475.0,835.0,0.0,890.0,1,0.0,0.0
204,204,-0.9737223823272347,-1.0,1,265.0,937.0,1.0,458.0,1,0.0,0.0
205,205,0.9510980935585431,1.0,0,272.0,719.0,0.0,369.0,1,0.0,0.0
206,206,0.8743525114886737,0.9,0,432.0,655.0,0.0,343.0,1,0.0,0.0
207,207,0.8095411349881254,0.8,0,462.0,908.0,0.0,370.0,1,0.0,0.0
208,208,-0.8955843471661402,-0.9,1,340.0,847.0,1.0,283.0,1,0.0,0.0
209,209,0.16026157156733079,0.2,0,261.0,789.0,1.0,1760.0,0,0.0,0.0
210,210,0.056964022791460955,0.1,0,417.0,514.0,1.0,959.0,0,0.0,0.0
211,211,-0.18273866133211092,-0.2,1,340.0,604.0,1.0,326.0,1,0.0,0.0
212,212,-0.3487442922867061,-0.3,1,326.0,786.0,1.0,588.0,1,0.0,0.0
213,213,-0.9861569324213288,-1.0,1,371.0,782.0,1.0,327.0,1,0.0,0.0
214,214,0.13841463747203564,0.1,0,305.0,864.0,0.0,811.0,1,0.0,0.0
215,215,-0.7207711608754057,-0.7,1,348.0,818.0,1.0,304.0,1,0.0,0.0
216,216,-0.19584311940039112,-0.2,1,330.0,643.0,1.0,667.0,1,0.0,0.0
217,217,-0.32117490420273986,-0.3,1,420.0,975.0,1.0,625.0,1,0.0,0.0
218,218,-0.7305744240672971,-0.7,1,419.0,976.0,1.0,415.0,1,0.0,0.0
219,219,-0.5024356122529516,-0.5,1,346.0,948.0,1.0,216.0,1,0.0,0.0
220,220,0.9048127724624413,0.9,0,321.0,648.0,0.0,241.0,1,0.0,0.0
221,221,0.43632725403464256,0.4,0,490.0,983.0,0.0,1007.0,1,0.0,0.0
222,222,-0.7097661588906561,-0.7,1,408.0,945.0,1.0,367.0,1,0.0,0.0
