,trial,coherence,coherence_bin,correct_side,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
3965,3965,0.7298077421093815,0.7,1.0,125.0,0.0,5875.0,0,0.0,0.0
3966,3966,0.2825949260491144,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
3967,3967,-0.8586022663370876,-0.9,0.0,125.0,1.0,5875.0,0,0.0,1.0
3968,3968,0.8028499695061618,0.8,1.0,125.0,1.0,5875.0,1,0.0,1.0
3969,3969,0.7138022050422065,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
3970,3970,0.5243645812903094,0.5,0.0,125.0,0.0,5875.0,1,1.0,1.0
3971,3971,-0.5058971484559995,-0.5,0.0,125.0,0.0,5875.0,1,0.0,0.0
3972,3972,0.15611975083478324,0.2,0.0,125.0,1.0,5875.0,0,1.0,0.0
3973,3973,0.6791247802512373,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
3974,3974,-0.24314360752638375,-0.2,0.0,125.0,1.0,5875.0,0,0.0,1.0
3975,3975,-0.4701038237275308,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
3976,3976,-0.15942803154486795,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
3977,3977,-0.0017072823074584242,-0.0,1.0,125.0,1.0,5875.0,1,1.0,0.0
3978,3978,0.8056584636785588,0.8,1.0,125.0,0.0,5875.0,0,0.0,0.0
3979,3979,0.38035075623644776,0.4,0.0,125.0,1.0,5875.0,0,1.0,0.0
3980,3980,0.2403579461330091,0.2,1.0,125.0,1.0,5875.0,1,0.0,1.0
3981,3981,-0.3664929912907635,-0.4,1.0,125.0,0.0,5875.0,0,1.0,1.0
3982,3982,-0.10291764822337535,-0.1,1.0,125.0,0.0,5875.0,0,1.0,1.0
3983,3983,0.14642817433444144,0.1,0.0,125.0,0.0,5875.0,1,1.0,1.0
3984,3984,0.7914671368097111,0.8,0.0,125.0,0.0,5875.0,1,1.0,1.0
3985,3985,-0.00839534822333865,-0.0,0.0,125.0,1.0,5875.0,0,0.0,1.0
3986,3986,0.8342145295100313,0.8,0.0,125.0,0.0,5875.0,1,1.0,1.0
3987,3987,0.6752283746054203,0.7,1.0,125.0,0.0,5875.0,0,0.0,0.0
3988,3988,0.517461765822577,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
3989,3989,0.7619223988568345,0.8,0.0,125.0,1.0,5875.0,0,1.0,0.0
3990,3990,0.6999239843780126,0.7,0.0,125.0,0.0,5875.0,1,1.0,1.0
3991,3991,0.6576168355146083,0.7,0.0,125.0,1.0,5875.0,0,1.0,0.0
3992,3992,0.08709818730055574,0.1,0.0,125.0,0.0,5875.0,1,1.0,1.0
3993,3993,0.8566095337126082,0.9,0.0,125.0,0.0,5875.0,1,1.0,1.0
3994,3994,-0.39190866633148613,-0.4,0.0,125.0,0.0,5875.0,1,0.0,0.0
3995,3995,-0.6526725723744055,-0.7,1.0,125.0,0.0,5875.0,0,1.0,1.0
3996,3996,0.17958819055447217,0.2,0.0,125.0,1.0,5875.0,0,1.0,0.0
3997,3997,-0.11696186881441084,-0.1,0.0,125.0,0.0,5875.0,1,0.0,0.0
3998,3998,0.5902065058606168,0.6,1.0,125.0,1.0,5875.0,1,0.0,1.0
3999,3999,0.6021244498280957,0.6,0.0,125.0,0.0,5875.0,1,1.0,1.0
4000,4000,-0.08598309056983977,-0.1,1.0,125.0,1.0,5875.0,1,1.0,0.0
4001,4001,-0.01709697389429532,-0.0,0.0,125.0,0.0,5875.0,1,0.0,0.0
4002,4002,0.14182595173791734,0.1,0.0,125.0,0.0,5875.0,1,1.0,1.0
4003,4003,0.09720657228285667,0.1,1.0,125.0,0.0,5875.0,0,0.0,0.0
4004,4004,0.33535020977059327,0.3,0.0,125.0,0.0,5875.0,1,1.0,1.0
4005,4005,0.7415245828210114,0.7,0.0,125.0,0.0,5875.0,1,1.0,1.0
4006,4006,-0.27023078805887035,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
4007,4007,0.6875587116933924,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
4008,4008,0.6773715626435647,0.7,1.0,125.0,0.0,5875.0,0,0.0,0.0
4009,4009,0.3734162223205554,0.4,1.0,125.0,0.0,5875.0,0,0.0,0.0
4010,4010,-0.32092660766767667,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
4011,4011,-0.3274497782753857,-0.3,1.0,125.0,1.0,5875.0,1,1.0,0.0
4012,4012,-0.5435701894144627,-0.5,0.0,125.0,0.0,5875.0,1,0.0,0.0
4013,4013,-0.2339418470333695,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
4014,4014,0.03977558903743539,0.0,1.0,125.0,1.0,5875.0,1,0.0,1.0
4015,4015,-0.3096633516948677,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
4016,4016,-0.5479839217113072,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
4017,4017,0.8348894445120026,0.8,0.0,125.0,0.0,5875.0,1,1.0,1.0
4018,4018,-0.4873041776140155,-0.5,1.0,125.0,1.0,5875.0,1,1.0,0.0
4019,4019,0.09754188209195724,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
4020,4020,-0.23833745930014472,-0.2,1.0,125.0,0.0,5875.0,0,1.0,1.0
4021,4021,0.38131905813579714,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
4022,4022,-0.3532973593331178,-0.4,0.0,125.0,1.0,5875.0,0,0.0,1.0
4023,4023,0.6907281484727014,0.7,0.0,125.0,1.0,5875.0,0,1.0,0.0
4024,4024,-0.4829398762969512,-0.5,0.0,125.0,1.0,5875.0,0,0.0,1.0
4025,4025,0.8354276367104284,0.8,0.0,125.0,1.0,5875.0,0,1.0,0.0
4026,4026,0.6159571063827068,0.6,0.0,125.0,1.0,5875.0,0,1.0,0.0
4027,4027,-0.07909437711946798,-0.1,1.0,125.0,1.0,5875.0,1,1.0,0.0
4028,4028,-0.5716491073912923,-0.6,0.0,125.0,0.0,5875.0,1,0.0,0.0
4029,4029,-0.8983559724992334,-0.9,1.0,125.0,1.0,5875.0,1,1.0,0.0
4030,4030,0.6972863706706055,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
4031,4031,0.02922009840072537,0.0,1.0,125.0,0.0,5875.0,0,0.0,0.0
4032,4032,-0.5045933281696244,-0.5,1.0,125.0,1.0,5875.0,1,1.0,0.0
4033,4033,-0.17479058942364134,-0.2,0.0,125.0,1.0,5875.0,0,0.0,1.0
4034,4034,0.7638691757488923,0.8,0.0,125.0,0.0,5875.0,1,1.0,1.0
4035,4035,-0.3396556063869748,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
4036,4036,-0.7808855880725951,-0.8,0.0,125.0,1.0,5875.0,0,0.0,1.0
4037,4037,-0.5926560198406565,-0.6,1.0,125.0,0.0,5875.0,0,1.0,1.0
4038,4038,-0.1840358520817692,-0.2,1.0,125.0,0.0,5875.0,0,1.0,1.0
4039,4039,0.305821779641812,0.3,0.0,125.0,0.0,5875.0,1,1.0,1.0
4040,4040,0.5076387250184987,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
4041,4041,0.7167200425971659,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
4042,4042,0.7414464630917409,0.7,1.0,125.0,1.0,5875.0,1,0.0,1.0
