,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
3324,3324,-0.8933315160836426,-0.9,1,341.0,512.0,1.0,197.0,1,0.9467429577324084,0.0
3325,3325,-0.4411593944162695,-0.4,1,264.0,878.0,1.0,238.0,1,0.8872458269079208,0.0
3326,3326,0.694597646591121,0.7,0,342.0,961.0,0.0,377.0,1,0.50522869424372,0.0
3327,3327,0.09293086735747091,0.1,0,277.0,631.0,0.0,942.0,1,0.607913308133939,0.0
3328,3328,-0.23749031529418607,-0.2,1,479.0,992.0,1.0,339.0,1,0.6549631097836855,0.0
3329,3329,-0.4269471284810771,-0.4,1,420.0,934.0,1.0,436.0,1,0.2105549433912952,0.0
3330,3330,-0.26338213143121014,-0.3,1,358.0,604.0,1.0,318.0,1,0.31086391553493964,0.0
3331,3331,0.3679771145142381,0.4,0,296.0,919.0,0.0,235.0,1,0.35589571297683664,0.0
3332,3332,0.23325076913151488,0.2,0,348.0,643.0,0.0,419.0,1,0.5486566169630046,0.0
3333,3333,0.9970378919235658,1.0,0,346.0,621.0,0.0,193.0,1,0.3343566742657492,0.0
3334,3334,0.431123381110708,0.4,0,250.0,958.0,0.0,202.0,1,0.9169313649182037,0.0
3335,3335,-0.2282741683018794,-0.2,1,359.0,930.0,1.0,421.0,1,0.10522662371999314,0.0
3336,3336,-0.4144769845128655,-0.4,1,394.0,904.0,1.0,522.0,1,0.06076863715664149,0.0
3337,3337,0.2245715819159897,0.2,0,453.0,827.0,0.0,1860.0,1,0.025996438069054828,0.0
3338,3338,-0.9396282779335869,-0.9,1,273.0,969.0,1.0,218.0,1,0.9789648811573047,0.0
3339,3339,-0.1989057386939741,-0.2,1,478.0,754.0,1.0,798.0,1,0.6795277105548161,0.0
3340,3340,0.3365624001648151,0.3,0,326.0,824.0,0.0,500.0,1,0.13282827477027637,0.0
3341,3341,-0.11102895655935874,-0.1,1,361.0,820.0,1.0,1039.0,1,0.23943821021908596,0.0
3342,3342,-0.6137302882901006,-0.6,1,409.0,561.0,1.0,350.0,1,0.4768790429930979,0.0
3343,3343,-0.6909859674605638,-0.7,1,467.0,594.0,1.0,369.0,1,0.017348710100085762,0.0
3344,3344,-0.16281117221490415,-0.2,1,431.0,952.0,0.0,277.0,0,0.9724274033321875,0.0
3345,3345,-0.9237541350293355,-0.9,1,413.0,849.0,1.0,98.0,1,0.4043537746888285,0.0
3346,3346,-0.7182891874675095,-0.7,1,410.0,918.0,1.0,132.0,1,0.6690201076549995,0.0
3347,3347,-0.3075585074829785,-0.3,1,292.0,887.0,1.0,461.0,1,0.3725304521550089,0.0
3348,3348,-0.020394582339332112,-0.0,1,333.0,746.0,0.0,991.0,0,0.018731305537571852,0.0
3349,3349,0.8216259184867833,0.8,0,303.0,847.0,0.0,320.0,1,0.13404278539258208,0.0
3350,3350,0.5698642017675128,0.6,0,497.0,778.0,0.0,275.0,1,0.1885515164040099,0.0
3351,3351,-0.05365885030371964,-0.1,1,460.0,967.0,0.0,453.0,0,0.8844139120329162,0.0
3352,3352,0.7173568335365581,0.7,0,313.0,865.0,0.0,392.0,1,0.03494965952649276,0.0
3353,3353,-0.09908179183446308,-0.1,1,362.0,831.0,1.0,2027.0,1,0.565835440164206,0.0
3354,3354,0.04310008472181259,0.0,0,446.0,614.0,1.0,330.0,0,0.4959346692791171,0.0
3355,3355,0.7043264808662095,0.7,0,486.0,998.0,0.0,266.0,1,0.6975436459399174,0.0
3356,3356,-0.9978641300522606,-1.0,1,442.0,848.0,1.0,340.0,1,0.22722705560366707,0.0
3357,3357,-0.7672293774667667,-0.8,1,385.0,579.0,1.0,176.0,1,0.7819495047734409,0.0
3358,3358,-0.40213631718992304,-0.4,1,466.0,850.0,1.0,534.0,1,0.30270209546041416,0.0
3359,3359,0.32292788569944,0.3,0,293.0,577.0,0.0,230.0,1,0.6231942616490129,0.0
3360,3360,0.6287263951514446,0.6,0,376.0,905.0,0.0,309.0,1,0.132803066517741,0.0
3361,3361,-0.8795441935056958,-0.9,1,470.0,828.0,1.0,312.0,1,0.3446306070600207,0.0
3362,3362,0.7814458276624316,0.8,0,396.0,845.0,0.0,149.0,1,0.6581608580959213,0.0
3363,3363,-0.24547583378256288,-0.2,1,291.0,531.0,1.0,318.0,1,0.9718258981429009,0.0
3364,3364,0.06374210566084426,0.1,0,474.0,766.0,0.0,1600.0,1,0.0224608314071697,0.0
3365,3365,-0.7752063375248945,-0.8,1,498.0,737.0,1.0,165.0,1,0.8578061132827748,0.0
3366,3366,-0.2531901912742742,-0.3,1,444.0,792.0,1.0,344.0,1,0.19004897838549262,0.0
3367,3367,0.22360370149999542,0.2,0,287.0,515.0,0.0,278.0,1,0.9052560929273161,0.0
3368,3368,0.3266051742449838,0.3,0,398.0,938.0,0.0,364.0,1,0.16125932542588794,0.0
3369,3369,0.3962568462256222,0.4,0,331.0,888.0,0.0,221.0,1,0.530621330605,0.0
3370,3370,-0.9454765758384254,-0.9,1,467.0,640.0,1.0,153.0,1,0.9274437952540605,0.0
3371,3371,0.1051357630563281,0.1,0,447.0,847.0,0.0,926.0,1,0.41655582113227707,0.0
3372,3372,0.9708629362593519,1.0,0,376.0,994.0,0.0,100.0,1,0.9919834073560249,0.0
3373,3373,0.750171688820978,0.8,0,485.0,613.0,0.0,182.0,1,0.7644302651926935,0.0
3374,3374,0.5669181038461342,0.6,0,336.0,950.0,0.0,254.0,1,0.7219642618629685,0.0
3375,3375,0.2743228629858203,0.3,0,420.0,825.0,0.0,195.0,1,0.5238990184045536,0.0
3376,3376,-0.7169353366961273,-0.7,1,352.0,828.0,1.0,210.0,1,0.9810010482822525,0.0
3377,3377,0.2881399436033212,0.3,0,420.0,640.0,0.0,680.0,1,0.6864154321963013,0.0
3378,3378,0.3778467181941363,0.4,0,476.0,899.0,0.0,445.0,1,0.2746848512547374,0.0
3379,3379,0.3466615344668691,0.3,0,259.0,678.0,0.0,413.0,1,0.9010462947748923,0.0
3380,3380,-0.18964470227124197,-0.2,1,467.0,772.0,1.0,401.0,1,0.11543847050921185,0.0
3381,3381,-0.5572389739239785,-0.6,1,337.0,716.0,1.0,287.0,1,0.43075906349384974,0.0
3382,3382,0.6402324473186007,0.6,0,472.0,896.0,0.0,262.0,1,0.8296965617867851,0.0
3383,3383,-0.8102395570905099,-0.8,1,450.0,607.0,1.0,253.0,1,0.6562155048962229,0.0
3384,3384,-0.2998165375058812,-0.3,1,445.0,632.0,1.0,353.0,1,0.731989064847131,0.0
3385,3385,0.03939639432360886,0.0,0,357.0,929.0,1.0,344.0,0,0.6411584366651814,0.0
3386,3386,-0.194926294182856,-0.2,1,459.0,552.0,1.0,429.0,1,0.42411637342683695,0.0
3387,3387,0.7218220950548155,0.7,0,433.0,591.0,0.0,226.0,1,0.7460599468476363,0.0
3388,3388,-0.8542057562150973,-0.9,1,290.0,523.0,1.0,307.0,1,0.6880476873058972,0.0
3389,3389,-0.19460921567881306,-0.2,1,495.0,874.0,1.0,521.0,1,0.8808543400422987,0.0
3390,3390,0.6933152699355718,0.7,0,313.0,616.0,0.0,141.0,1,0.5783606942186139,0.0
3391,3391,-0.8650300253394867,-0.9,1,419.0,772.0,1.0,209.0,1,0.741358507345425,0.0
3392,3392,-0.47291463954007007,-0.5,1,341.0,523.0,1.0,306.0,1,0.19130755241856567,0.0
3393,3393,-0.909219855320528,-0.9,1,343.0,728.0,1.0,159.0,1,0.9068724730983218,0.0
3394,3394,-0.7515004973821882,-0.8,1,267.0,675.0,1.0,208.0,1,0.8329611355683366,0.0
3395,3395,0.1643842788890677,0.2,0,260.0,563.0,0.0,547.0,1,0.3020698266732764,0.0
3396,3396,-0.19446736100797635,-0.2,1,371.0,655.0,1.0,414.0,1,0.2347277659421948,0.0
3397,3397,-0.43542689370874954,-0.4,1,397.0,974.0,1.0,239.0,1,0.7730068314250454,0.0
3398,3398,0.7251984501632915,0.7,0,279.0,863.0,0.0,198.0,1,0.48378518155446715,0.0
3399,3399,-0.24957945116984104,-0.2,1,285.0,565.0,1.0,330.0,1,0.673517790770351,0.0
3400,3400,-0.23455436291801401,-0.2,1,476.0,523.0,1.0,361.0,1,0.23278005082612463,0.0
3401,3401,-0.5477157753576087,-0.5,1,433.0,813.0,1.0,464.0,1,0.3224883947098113,0.0
3402,3402,0.4445036248540579,0.4,0,488.0,932.0,0.0,160.0,1,0.4771981173969877,0.0
3403,3403,-0.4775289696020266,-0.5,1,353.0,850.0,1.0,357.0,1,0.3316474228551476,0.0
3404,3404,-0.6751695233051114,-0.7,1,298.0,954.0,1.0,288.0,1,0.06393567373402254,0.0
3405,3405,0.41369419304360044,0.4,0,251.0,833.0,0.0,226.0,1,0.7991501189684161,0.0
3406,3406,0.7606248604653649,0.8,0,473.0,815.0,0.0,242.0,1,0.2442611005227624,0.0
3407,3407,0.060974088185688835,0.1,0,371.0,614.0,1.0,605.0,0,0.8080747590386681,0.0
3408,3408,0.9287377308789166,0.9,0,435.0,538.0,0.0,167.0,1,0.4237499490160572,0.0
3409,3409,0.512583189213623,0.5,0,377.0,643.0,0.0,200.0,1,0.8168648736606514,0.0
3410,3410,-0.057140134198433,-0.1,1,295.0,715.0,1.0,1680.0,1,0.4524122605612799,0.0
3411,3411,-0.7129623089753399,-0.7,1,456.0,767.0,1.0,327.0,1,0.18344356062215927,0.0
