,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,gain
4562,4562,0.6186465261391474,0.6,0,298.0,522.0,1.0,330.0,0,0.8047734329165841
4563,4563,-0.4777386876218581,-0.5,1,430.0,630.0,0.0,770.0,0,0.14133858329053128
4564,4564,0.5024067309636762,0.5,0,333.0,793.0,1.0,224.0,0,0.9328373513926457
4565,4565,-0.1021190395905196,-0.1,1,481.0,766.0,0.0,753.0,0,0.7828520285178749
4566,4566,-0.45540917301970163,-0.5,1,276.0,702.0,0.0,1952.0,0,0.17360760886241022
4567,4567,-0.8442572341965522,-0.8,1,307.0,914.0,0.0,249.0,0,0.5848394033502874
4568,4568,0.19703170535931203,0.2,1,438.0,528.0,1.0,414.0,1,0.6500816124433457
4569,4569,0.17586083692310162,0.2,1,467.0,817.0,1.0,706.0,1,0.8603781681828682
4570,4570,0.11245518675761068,0.1,1,440.0,835.0,1.0,2685.0,1,0.19505570617320978
4571,4571,-0.17343105406600756,-0.2,1,407.0,909.0,0.0,3684.0,0,0.007175206819116209
4572,4572,0.5319077232796341,0.5,0,484.0,676.0,1.0,440.0,0,0.31667181339062356
4573,4573,-0.2798450789671496,-0.3,1,442.0,588.0,0.0,550.0,0,0.3693790312061488
4574,4574,-0.38011500321728353,-0.4,1,486.0,933.0,0.0,181.0,0,0.8183485717930603
4575,4575,0.911791642675196,0.9,0,420.0,915.0,1.0,185.0,0,0.5830355026467636
4576,4576,0.013445322799148673,0.0,1,497.0,807.0,0.0,1226.0,0,0.736491669673075
4577,4577,-0.8668023265215627,-0.9,1,279.0,832.0,0.0,189.0,0,0.2753686288900382
4578,4578,0.17902707195915402,0.2,1,270.0,547.0,1.0,193.0,1,0.9558940083370655
4579,4579,0.147285913176876,0.1,1,296.0,566.0,1.0,4138.0,1,0.10252693518324651
4580,4580,0.26966497639513753,0.3,1,493.0,619.0,1.0,338.0,1,0.8407371456370978
4581,4581,-0.7261253617110768,-0.7,1,264.0,549.0,0.0,177.0,0,0.9479797643833858
4582,4582,0.9120903802956357,0.9,0,411.0,661.0,1.0,118.0,0,0.8594958380840615
4583,4583,0.8919774685934672,0.9,0,418.0,918.0,1.0,144.0,0,0.7204910951371275
4584,4584,0.6583050406519286,0.7,0,370.0,578.0,1.0,292.0,0,0.5445542305289083
4585,4585,-0.09048683227769794,-0.1,1,339.0,830.0,0.0,1781.0,0,0.8731435561912229
4586,4586,-0.18364176378863228,-0.2,1,370.0,766.0,0.0,244.0,0,0.8262028744787344
4587,4587,0.27079704688316797,0.3,1,286.0,949.0,1.0,3765.0,1,0.04451888056269615
4588,4588,0.8195738238869215,0.8,0,422.0,975.0,1.0,193.0,0,0.7034785185006083
4589,4589,0.08864522297508182,0.1,1,430.0,720.0,1.0,1120.0,1,0.8863719302663475
4590,4590,0.13447044963211652,0.1,1,294.0,546.0,1.0,4160.0,1,0.21436952195574555
4591,4591,0.7238117607448253,0.7,0,331.0,946.0,1.0,263.0,0,0.42367658035763156
