,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
1277,1277,-0.2559380359690553,-0.3,1,261.0,751.0,1.0,648.0,1,223.2185892092834
1278,1278,-0.9235308032204768,-0.9,1,407.0,891.0,1.0,252.0,1,22.94075903385697
1279,1279,0.10545791477635746,0.1,0,300.0,507.0,1.0,1023.0,0,268.3626255670928
1280,1280,-0.03864946619062315,-0.0,1,365.0,618.0,0.0,1027.0,0,288.40516014281303
1281,1281,0.2979445823715776,0.3,0,429.0,538.0,0.0,483.0,1,210.6166252885267
1282,1282,0.1641457195067746,0.2,0,407.0,597.0,0.0,476.0,1,250.75628414796762
1283,1283,0.18389667177122182,0.2,0,283.0,726.0,0.0,791.0,1,244.83099846863345
1284,1284,0.8351167013979783,0.8,0,266.0,857.0,0.0,207.0,1,49.4649895806065
1285,1285,0.16557806108004924,0.2,0,327.0,659.0,0.0,594.0,1,250.32658167598524
1286,1286,-0.39994544021013123,-0.4,1,394.0,813.0,1.0,373.0,1,180.01636793696062
1287,1287,-0.0926659664873577,-0.1,1,405.0,826.0,1.0,1559.0,1,272.2002100537927
1288,1288,-0.8303542503893069,-0.8,1,333.0,713.0,1.0,314.0,1,50.89372488320794
1289,1289,-0.9688200820748485,-1.0,1,283.0,507.0,1.0,150.0,1,9.353975377545453
1290,1290,-0.6516301108919627,-0.7,1,307.0,591.0,1.0,342.0,1,104.5109667324112
1291,1291,0.6170168419197442,0.6,0,322.0,680.0,0.0,428.0,1,114.89494742407675
1292,1292,0.3855137328027223,0.4,0,421.0,764.0,0.0,455.0,1,184.3458801591833
1293,1293,-0.04927532625982911,-0.0,1,343.0,594.0,0.0,1153.0,0,285.2174021220513
1294,1294,0.44287173993773754,0.4,0,495.0,898.0,0.0,377.0,1,167.13847801867874
1295,1295,0.36814168117187474,0.4,0,300.0,938.0,0.0,322.0,1,189.55749564843757
1296,1296,-0.192679688358794,-0.2,1,423.0,686.0,1.0,1101.0,1,242.1960934923618
1297,1297,-0.8313278297746709,-0.8,1,358.0,739.0,1.0,193.0,1,50.60165106759873
1298,1298,-0.6327035243621135,-0.6,1,270.0,677.0,1.0,323.0,1,110.18894269136594
1299,1299,-0.0237777637927441,-0.0,1,284.0,785.0,1.0,851.0,1,292.86667086217676
1300,1300,0.21087107249411985,0.2,0,253.0,569.0,0.0,768.0,1,236.73867825176404
1301,1301,-0.9793380042406439,-1.0,1,273.0,567.0,1.0,370.0,1,6.198598727806837
1302,1302,0.3479452608148321,0.3,0,464.0,609.0,0.0,467.0,1,195.61642175555036
1303,1303,0.9473555290330484,0.9,0,392.0,584.0,0.0,154.0,1,15.793341290085472
1304,1304,0.00891932986527788,0.0,0,425.0,783.0,0.0,1892.0,1,297.32420104041665
1305,1305,0.13235521161854513,0.1,0,361.0,665.0,0.0,1194.0,1,260.29343651443645
1306,1306,0.4256867810846314,0.4,0,426.0,634.0,0.0,710.0,1,172.29396567461058
1307,1307,-0.8079943588883034,-0.8,1,383.0,857.0,1.0,160.0,1,57.60169233350898
1308,1308,0.40926570167519705,0.4,0,373.0,843.0,0.0,314.0,1,177.2202894974409
1309,1309,0.6377099813173617,0.6,0,486.0,911.0,0.0,313.0,1,108.6870056047915
1310,1310,0.7972126470048444,0.8,0,390.0,633.0,0.0,277.0,1,60.83620589854668
1311,1311,-0.4305943324281698,-0.4,1,454.0,603.0,1.0,533.0,1,170.82170027154905
1312,1312,-0.37336520017514774,-0.4,1,414.0,727.0,1.0,699.0,1,187.99043994745568
1313,1313,-0.39682933749171956,-0.4,1,295.0,751.0,1.0,634.0,1,180.95119875248415
1314,1314,-0.7689710281806006,-0.8,1,470.0,732.0,1.0,228.0,1,69.30869154581983
1315,1315,0.3699451093859918,0.4,0,440.0,594.0,0.0,526.0,1,189.01646718420247
1316,1316,-0.5659966925113966,-0.6,1,447.0,975.0,1.0,368.0,1,130.20099224658102
1317,1317,-0.7671526449190222,-0.8,1,450.0,863.0,1.0,307.0,1,69.85420652429333
1318,1318,-0.5407621271936243,-0.5,1,383.0,868.0,1.0,399.0,1,137.77136184191272
1319,1319,-0.06797292253719922,-0.1,1,287.0,645.0,1.0,3808.0,1,279.6081232388402
1320,1320,-0.8104607999915103,-0.8,1,454.0,570.0,1.0,286.0,1,56.8617600025469
1321,1321,-0.32308180467827396,-0.3,1,370.0,806.0,1.0,414.0,1,203.07545859651782
