,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4283,4283,-0.4744336174197703,-0.5,0.0,255.0,901.0,0.0,354.0,1,0.0,0.0
4284,4284,-0.7480767510468932,-0.7,1.0,321.0,862.0,1.0,207.0,1,1.0,0.0
4285,4285,-0.34520794458679727,-0.3,1.0,410.0,712.0,1.0,298.0,1,1.0,0.0
4286,4286,-0.801848832401787,-0.8,1.0,379.0,803.0,1.0,138.0,1,1.0,0.0
4287,4287,-0.8386581932706512,-0.8,1.0,410.0,547.0,1.0,163.0,1,1.0,0.0
4288,4288,0.08399418375555345,0.1,1.0,432.0,949.0,1.0,2919.0,1,0.0,1.0
4289,4289,-0.23191238185926355,-0.2,0.0,492.0,823.0,0.0,685.0,1,0.0,0.0
4290,4290,0.39096668096110776,0.4,1.0,266.0,864.0,1.0,340.0,1,0.0,1.0
4291,4291,-0.13464996590902856,-0.1,1.0,499.0,931.0,1.0,540.0,1,1.0,0.0
4292,4292,0.6726288910563848,0.7,1.0,453.0,970.0,1.0,117.0,1,0.0,1.0
4293,4293,-0.8596947885704217,-0.9,0.0,429.0,589.0,0.0,-38.0,1,0.0,0.0
4294,4294,0.49306607995504426,0.5,0.0,445.0,794.0,0.0,101.0,1,1.0,1.0
4295,4295,0.35119447172313245,0.4,0.0,322.0,546.0,0.0,222.0,1,1.0,1.0
4296,4296,-0.2607732937135714,-0.3,0.0,332.0,707.0,0.0,721.0,1,0.0,0.0
4297,4297,-0.1313428588539577,-0.1,0.0,492.0,696.0,0.0,862.0,1,0.0,0.0
4298,4298,0.5201241895418894,0.5,0.0,253.0,934.0,0.0,203.0,1,1.0,1.0
4299,4299,-0.8240719479441347,-0.8,1.0,498.0,791.0,1.0,-599.0,1,1.0,0.0
4300,4300,0.5411992076312454,0.5,1.0,475.0,884.0,1.0,141.0,1,0.0,1.0
4301,4301,0.34163962806526793,0.3,0.0,291.0,823.0,0.0,246.0,1,1.0,1.0
4302,4302,-0.29414654674242524,-0.3,0.0,473.0,896.0,0.0,471.0,1,0.0,0.0
4303,4303,-0.5784497540188187,-0.6,1.0,425.0,673.0,1.0,-18.0,1,1.0,0.0
4304,4304,-0.019651067367714603,-0.0,0.0,267.0,850.0,0.0,3883.0,1,0.0,0.0
4305,4305,0.5682347751649116,0.6,1.0,256.0,774.0,1.0,130.0,1,0.0,1.0
4306,4306,-0.5645040630349099,-0.6,1.0,286.0,964.0,1.0,120.0,1,1.0,0.0
4307,4307,-0.026481236207793968,-0.0,1.0,262.0,910.0,1.0,2398.0,1,1.0,0.0
4308,4308,0.45556723333848403,0.5,0.0,484.0,724.0,0.0,192.0,1,1.0,1.0
4309,4309,-0.7417724672463534,-0.7,1.0,339.0,886.0,1.0,135.0,1,1.0,0.0
4310,4310,-0.33988124352548543,-0.3,0.0,334.0,938.0,0.0,248.0,1,0.0,0.0
4311,4311,-0.7457248047390825,-0.7,1.0,298.0,969.0,1.0,343.0,1,1.0,0.0
4312,4312,-0.7312549831816613,-0.7,1.0,308.0,586.0,1.0,66.0,1,1.0,0.0
4313,4313,-0.8010287050704555,-0.8,1.0,455.0,888.0,1.0,177.0,1,1.0,0.0
4314,4314,0.8180930741741631,0.8,0.0,264.0,998.0,0.0,128.0,1,1.0,1.0
4315,4315,0.1893951088150868,0.2,1.0,320.0,617.0,1.0,573.0,1,0.0,1.0
4316,4316,-0.6330614898634479,-0.6,0.0,272.0,910.0,0.0,128.0,1,0.0,0.0
4317,4317,-0.22933323474802547,-0.2,0.0,484.0,965.0,0.0,1011.0,1,0.0,0.0
4318,4318,0.20916249892075,0.2,1.0,278.0,908.0,0.0,-336.0,0,0.0,0.0
4319,4319,0.04109297843599524,0.0,0.0,432.0,646.0,0.0,1402.0,1,1.0,1.0
4320,4320,-0.13472464876115975,-0.1,0.0,455.0,801.0,0.0,1534.0,1,0.0,0.0
4321,4321,0.6032876960874415,0.6,0.0,449.0,847.0,0.0,244.0,1,1.0,1.0
4322,4322,-0.7714463372511013,-0.8,0.0,269.0,943.0,0.0,208.0,1,0.0,0.0
4323,4323,0.6393642742263098,0.6,1.0,297.0,588.0,1.0,245.0,1,0.0,1.0
4324,4324,0.10047646025157142,0.1,0.0,457.0,807.0,0.0,526.0,1,1.0,1.0
4325,4325,-0.4049720120543293,-0.4,0.0,376.0,595.0,0.0,129.0,1,0.0,0.0
4326,4326,0.4391488401744582,0.4,0.0,395.0,580.0,0.0,255.0,1,1.0,1.0
4327,4327,-0.3768893805533251,-0.4,1.0,437.0,648.0,1.0,415.0,1,1.0,0.0
4328,4328,0.8050946527938424,0.8,0.0,270.0,942.0,0.0,68.0,1,1.0,1.0
4329,4329,-0.31082016378323285,-0.3,1.0,303.0,630.0,1.0,127.0,1,1.0,0.0
4330,4330,0.508116139523452,0.5,0.0,277.0,847.0,0.0,156.0,1,1.0,1.0
4331,4331,-0.36200292816359225,-0.4,0.0,273.0,927.0,0.0,260.0,1,0.0,0.0
4332,4332,0.8870641934954376,0.9,0.0,434.0,979.0,0.0,87.0,1,1.0,1.0
4333,4333,0.7154054881021875,0.7,1.0,458.0,836.0,1.0,76.0,1,0.0,1.0
4334,4334,0.7719037351555108,0.8,1.0,333.0,880.0,1.0,77.0,1,0.0,1.0
4335,4335,-0.7813319240146638,-0.8,0.0,482.0,815.0,0.0,243.0,1,0.0,0.0
4336,4336,0.8232719237107345,0.8,1.0,296.0,787.0,1.0,117.0,1,0.0,1.0
4337,4337,0.6831459385251107,0.7,1.0,263.0,907.0,1.0,170.0,1,0.0,1.0
4338,4338,0.09968444603377324,0.1,0.0,264.0,901.0,0.0,1215.0,1,1.0,1.0
4339,4339,0.16614376042645163,0.2,0.0,270.0,644.0,0.0,1176.0,1,1.0,1.0
4340,4340,0.28021795085740486,0.3,0.0,432.0,753.0,0.0,555.0,1,1.0,1.0
4341,4341,0.7025257678581486,0.7,1.0,462.0,525.0,1.0,193.0,1,0.0,1.0
4342,4342,0.40804724845052853,0.4,0.0,393.0,753.0,0.0,274.0,1,1.0,1.0
4343,4343,-0.6378413487486525,-0.6,0.0,301.0,556.0,0.0,143.0,1,0.0,0.0
