,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
1334,1334,0.6241176591522466,0.6,0,357.0,730.0,0.0,193.0,1,0.5512561004273873,0.0
1335,1335,0.671142983019648,0.7,0,372.0,844.0,0.0,204.0,1,0.47937664743210606,0.0
1336,1336,0.13370032542235144,0.1,0,420.0,761.0,0.0,3819.0,1,0.38570072697453334,0.0
1337,1337,-0.47193293260865676,-0.5,1,470.0,827.0,1.0,-1207.0,1,0.5822142199829341,0.0
1338,1338,0.2698493981941026,0.3,0,447.0,894.0,1.0,-581.0,0,0.46955385624732215,0.0
1339,1339,-0.824313671666089,-0.8,1,285.0,797.0,1.0,228.0,1,0.39606435636412457,0.0
1340,1340,-0.6067016460966503,-0.6,1,485.0,947.0,0.0,-252.0,0,0.5997900614146519,0.0
1341,1341,-0.5912437067510234,-0.6,1,341.0,776.0,1.0,313.0,1,0.41375201554756047,0.0
1342,1342,0.6477923802034746,0.6,0,447.0,868.0,0.0,485.0,1,0.38896363139941453,0.0
1343,1343,0.3246815830954106,0.3,0,472.0,633.0,1.0,-1005.0,0,0.5949114578385589,0.0
1344,1344,-0.8890317806705359,-0.9,1,386.0,730.0,1.0,144.0,1,0.5526974985806621,0.0
1345,1345,0.9983370047433202,1.0,0,252.0,675.0,0.0,63.0,1,0.406583041376121,0.0
1346,1346,-0.9139812624340886,-0.9,1,289.0,627.0,1.0,174.0,1,0.447335999662545,0.0
1347,1347,0.19104626603740682,0.2,0,445.0,872.0,1.0,3683.0,0,0.34153912312494084,0.0
1348,1348,-0.17290212307565578,-0.2,1,454.0,673.0,1.0,-437.0,1,0.4856527579640965,0.0
1349,1349,0.3813592560251444,0.4,0,483.0,521.0,1.0,-624.0,0,0.595388346724987,0.0
1350,1350,-0.6778663339844357,-0.7,1,437.0,515.0,1.0,328.0,1,0.4059304454166323,0.0
1351,1351,-0.4656070620446868,-0.5,1,302.0,713.0,0.0,-235.0,0,0.5675672034103876,0.0
1352,1352,-0.8289419519264813,-0.8,1,285.0,670.0,1.0,115.0,1,0.4357558979687852,0.0
1353,1353,-0.6990674496551355,-0.7,1,409.0,843.0,1.0,168.0,1,0.43127062123011284,0.0
1354,1354,0.7628974649274902,0.8,0,469.0,773.0,0.0,408.0,1,0.4370253754083014,0.0
1355,1355,-0.8352140154994925,-0.8,1,438.0,696.0,0.0,-554.0,0,0.5478591422015778,0.0
1356,1356,0.6199301399026174,0.6,0,358.0,980.0,0.0,882.0,1,0.31998824102945506,0.0
1357,1357,0.738801699996857,0.7,0,318.0,807.0,0.0,75.0,1,0.5050987832433389,0.0
1358,1358,0.06084856128437344,0.1,0,323.0,822.0,1.0,-985.0,0,0.5953033769357576,0.0
1359,1359,0.7953769388900165,0.8,0,397.0,937.0,0.0,306.0,1,0.3258384053152761,0.0
1360,1360,-0.051698992514670916,-0.1,1,296.0,668.0,1.0,666.0,1,0.43879178259496476,0.0
1361,1361,-0.382904394506536,-0.4,1,337.0,948.0,1.0,-525.0,1,0.5345766035420781,0.0
1362,1362,-0.8492822899817698,-0.8,1,450.0,822.0,1.0,878.0,1,0.30988744059785134,0.0
1363,1363,0.6759245708549582,0.7,0,363.0,664.0,0.0,73.0,1,0.5426380375306827,0.0
1364,1364,-0.15329841382430076,-0.2,1,439.0,516.0,1.0,-465.0,1,0.4725095571205765,0.0
1365,1365,0.242534680288222,0.2,0,277.0,568.0,0.0,825.0,1,0.41995112645096355,0.0
1366,1366,-0.896949959686784,-0.9,1,329.0,627.0,1.0,134.0,1,0.47934529336594456,0.0
1367,1367,-0.5273336349239583,-0.5,1,414.0,895.0,1.0,3691.0,1,0.3256509194638173,0.0
1368,1368,-0.9357869103198122,-0.9,1,458.0,680.0,1.0,722.0,1,0.3121861407779319,0.0
1369,1369,0.933913827453438,0.9,0,427.0,778.0,0.0,235.0,1,0.5572253431863428,0.0
1370,1370,0.4792583586293664,0.5,0,364.0,685.0,0.0,-249.0,1,0.5520101490761992,0.0
1371,1371,-0.9370897594256182,-0.9,1,317.0,606.0,1.0,217.0,1,0.4945825039192774,0.0
1372,1372,0.3398656107216238,0.3,0,381.0,652.0,0.0,707.0,1,0.43651649483945165,0.0
1373,1373,-0.25893145226313563,-0.3,1,420.0,841.0,0.0,-521.0,0,0.5275465769779508,0.0
1374,1374,-0.3531056591181627,-0.4,1,379.0,847.0,1.0,3774.0,1,0.3530799086861771,0.0
1375,1375,0.019174955955286066,0.0,0,495.0,832.0,1.0,-637.0,0,0.5656938063999066,0.0
1376,1376,0.5496584794742281,0.5,0,409.0,887.0,0.0,544.0,1,0.3452230333425464,0.0
1377,1377,0.21142581054069232,0.2,0,321.0,975.0,0.0,234.0,1,0.41831776339612364,0.0
1378,1378,0.8287271046960039,0.8,0,283.0,718.0,0.0,429.0,1,0.3343174045372097,0.0
1379,1379,-0.6895189481871349,-0.7,1,425.0,858.0,1.0,287.0,1,0.5050942007907039,0.0
1380,1380,0.4856970783315473,0.5,0,438.0,947.0,1.0,-805.0,0,0.5834350884161115,0.0
1381,1381,0.6880910279923287,0.7,0,341.0,900.0,0.0,-411.0,1,0.5285106233669954,0.0
1382,1382,-0.09406914123267462,-0.1,1,411.0,894.0,1.0,3695.0,1,0.4361278899344929,0.0
1383,1383,0.40173002380425027,0.4,0,422.0,930.0,0.0,1068.0,1,0.37641748838901656,0.0
1384,1384,0.4315633400002923,0.4,0,423.0,673.0,0.0,454.0,1,0.43707750196855205,0.0
1385,1385,0.9621682215563276,1.0,0,250.0,595.0,0.0,135.0,1,0.4225259452830823,0.0
