,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,inputBias
115,115,-0.06684416438447216,-0.1,1,350.0,698.0,1.0,402.0,1,0.33332691260452874
116,116,0.36815028067302036,0.4,0,437.0,883.0,1.0,-40.0,0,0.32527611197980844
117,117,0.3993320534886948,0.4,0,311.0,902.0,0.0,247.0,1,0.31514887701092736
118,118,0.1990560289085015,0.2,0,373.0,968.0,0.0,1129.0,1,0.45462408981854735
119,119,0.8732453872111929,0.9,0,305.0,741.0,0.0,144.0,1,0.31758855641434797
120,120,0.38189789752485437,0.4,0,493.0,782.0,0.0,-855.0,1,0.2560961666824201
121,121,0.9467866615917875,0.9,0,335.0,555.0,0.0,70.0,1,0.2924169130913703
122,122,-0.35245013426825844,-0.4,1,468.0,907.0,1.0,145.0,1,0.3589981555757319
123,123,0.09016629399984799,0.1,0,432.0,797.0,0.0,1111.0,1,0.2278850798624337
124,124,0.9089421083822731,0.9,0,360.0,612.0,0.0,278.0,1,0.4282809998547523
125,125,-0.6750294638757883,-0.7,1,310.0,592.0,1.0,108.0,1,0.37041977736247994
126,126,-0.7723163965994402,-0.8,1,494.0,652.0,1.0,-106.0,1,0.33332014471503946
127,127,0.015799783389852884,0.0,0,328.0,921.0,0.0,981.0,1,0.20489542001194394
128,128,-0.8912739243296832,-0.9,1,459.0,770.0,1.0,201.0,1,0.3334980236373438
129,129,0.5012326633241051,0.5,0,418.0,584.0,0.0,408.0,1,0.23595772596946726
130,130,0.8927791094821553,0.9,0,403.0,854.0,0.0,113.0,1,0.42930480887055367
131,131,-0.7601892259639604,-0.8,1,372.0,798.0,1.0,170.0,1,0.24986515355487082
132,132,0.3173042551483223,0.3,0,384.0,578.0,0.0,358.0,1,0.45110721141495586
133,133,-0.9046823768568824,-0.9,1,462.0,998.0,1.0,270.0,1,0.21311782912848976
134,134,0.3111060669413055,0.3,0,410.0,960.0,1.0,-130.0,0,0.48579148377631304
135,135,-0.9255961614784969,-0.9,1,398.0,768.0,1.0,334.0,1,0.24219115260214
136,136,0.43068266699519997,0.4,0,429.0,918.0,1.0,-247.0,0,0.3950129626408381
