,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
3249,3249,-0.13112304125448548,-0.1,1,355.0,838.0,0.0,377.0,0,1.1220452838900812,0.0
3250,3250,0.837807870082278,0.8,0,314.0,832.0,0.0,134.0,1,0.6145953040873775,0.0
3251,3251,-0.7088485223467753,-0.7,1,261.0,567.0,1.0,202.0,1,0.913566064157266,0.0
3252,3252,-0.9233890339046698,-0.9,1,267.0,643.0,1.0,210.0,1,0.7099951671338984,0.0
3253,3253,0.1755592556030623,0.2,0,299.0,861.0,0.0,240.0,1,1.132659692175629,0.0
3254,3254,-0.24359192396487006,-0.2,1,478.0,803.0,1.0,459.0,1,0.9549954743780676,0.0
3255,3255,-0.6457428129837317,-0.6,1,419.0,720.0,1.0,191.0,1,0.6298197707630255,0.0
3256,3256,-0.9856911859629274,-1.0,1,285.0,737.0,1.0,118.0,1,0.8258367024381599,0.0
3257,3257,0.50810720994829,0.5,0,323.0,535.0,0.0,162.0,1,0.663749959893323,0.0
3258,3258,-0.9615660896694842,-1.0,1,416.0,884.0,1.0,190.0,1,0.8739276064444802,0.0
3259,3259,0.9924106343597949,1.0,0,310.0,970.0,0.0,140.0,1,0.9763097688500646,0.0
3260,3260,0.026215021341389644,0.0,0,254.0,757.0,0.0,229.0,1,1.1016994310933794,0.0
3261,3261,-0.5095794578160433,-0.5,1,384.0,908.0,1.0,128.0,1,0.8402333939182156,0.0
3262,3262,0.2539916840344283,0.3,0,391.0,711.0,0.0,258.0,1,0.8447531146170628,0.0
3263,3263,0.5274533450293135,0.5,0,440.0,527.0,0.0,153.0,1,1.1646961807930059,0.0
3264,3264,-0.6512068121719181,-0.7,1,415.0,809.0,1.0,406.0,1,0.636931946993267,0.0
3265,3265,0.9296391418952936,0.9,0,484.0,619.0,0.0,127.0,1,1.0124176184193687,0.0
3266,3266,-0.7140563257076529,-0.7,1,267.0,689.0,1.0,254.0,1,0.6889901595324801,0.0
3267,3267,0.11412776414289882,0.1,0,276.0,810.0,0.0,384.0,1,0.9665799567828082,0.0
3268,3268,-0.33833808324488057,-0.3,1,444.0,509.0,1.0,257.0,1,0.9315583319101575,0.0
3269,3269,0.9046778024233935,0.9,0,279.0,623.0,0.0,128.0,1,0.9636743921981129,0.0
3270,3270,0.7288959106213242,0.7,0,275.0,732.0,0.0,213.0,1,0.616376941022835,0.0
3271,3271,0.10983305896158413,0.1,0,263.0,834.0,0.0,283.0,1,0.9436903653112794,0.0
3272,3272,0.9135275373274581,0.9,0,485.0,983.0,0.0,82.0,1,0.9235741641915252,0.0
3273,3273,-0.3650260645605059,-0.4,1,407.0,840.0,1.0,203.0,1,0.9572814982635591,0.0
3274,3274,-0.7034595533232435,-0.7,1,382.0,604.0,1.0,254.0,1,0.6581604313961147,0.0
3275,3275,0.038256340745352,0.0,0,404.0,555.0,0.0,281.0,1,1.066828216628518,0.0
3276,3276,-0.5463581727821325,-0.5,1,493.0,990.0,1.0,267.0,1,0.8419291034476868,0.0
3277,3277,-0.7508412635646606,-0.8,1,493.0,877.0,1.0,240.0,1,0.8232875905047531,0.0
3278,3278,0.789891323582494,0.8,0,299.0,770.0,0.0,151.0,1,0.7503669371946937,0.0
3279,3279,0.7792393701814144,0.8,0,449.0,966.0,0.0,195.0,1,0.615022869388169,0.0
3280,3280,-0.16110659862059107,-0.2,1,283.0,938.0,1.0,409.0,1,1.0527518641009173,0.0
3281,3281,-0.24530485622015097,-0.2,1,260.0,980.0,1.0,580.0,1,0.5046172797004042,0.0
3282,3282,-0.9216867414409349,-0.9,1,258.0,577.0,1.0,265.0,1,0.75207265150788,0.0
3283,3283,0.3315507672456932,0.3,0,279.0,748.0,0.0,183.0,1,1.1904520669261323,0.0
3284,3284,0.2986791148767096,0.3,0,405.0,729.0,0.0,166.0,1,0.9304614906331022,0.0
3285,3285,0.05775813800621532,0.1,0,417.0,963.0,0.0,880.0,1,0.7955133195054307,0.0
3286,3286,0.39234828822023826,0.4,0,497.0,516.0,0.0,117.0,1,0.8864470503818024,0.0
3287,3287,-0.04595091862065548,-0.0,1,442.0,520.0,0.0,308.0,0,0.7524612790228119,0.0
3288,3288,0.09443958882643866,0.1,0,267.0,668.0,0.0,195.0,1,0.5832701486499885,0.0
3289,3289,-0.491570281645588,-0.5,1,309.0,768.0,1.0,253.0,1,0.9307903126634332,0.0
3290,3290,-0.9405858752570573,-0.9,1,366.0,919.0,1.0,175.0,1,0.8100950699828211,0.0
3291,3291,0.48652863640313115,0.5,0,377.0,907.0,0.0,296.0,1,0.7423087886658326,0.0
3292,3292,0.8917757307306433,0.9,0,401.0,914.0,0.0,105.0,1,0.9135449358666433,0.0
3293,3293,0.4336679188267689,0.4,0,263.0,817.0,0.0,220.0,1,1.0755422210596035,0.0
3294,3294,-0.28904617692787715,-0.3,1,344.0,613.0,1.0,213.0,1,0.7848942383305455,0.0
3295,3295,-0.21796165229575437,-0.2,1,433.0,860.0,1.0,3327.0,1,0.5009859665531798,0.0
3296,3296,0.25481723173891857,0.3,0,314.0,687.0,0.0,249.0,1,0.7292987947406584,0.0
3297,3297,-0.4014300527390271,-0.4,1,255.0,604.0,1.0,251.0,1,0.7384778848426009,0.0
3298,3298,-0.19949600999037553,-0.2,1,331.0,907.0,1.0,342.0,1,0.6816354388931771,0.0
3299,3299,-0.77796862467382,-0.8,1,363.0,609.0,1.0,288.0,1,0.5219064212783868,0.0
3300,3300,-0.1038340081894249,-0.1,1,484.0,550.0,0.0,196.0,0,0.9752947037248857,0.0
3301,3301,-0.4512447655796046,-0.5,1,401.0,671.0,1.0,208.0,1,0.9820244618774617,0.0
3302,3302,0.5607732120562419,0.6,0,321.0,630.0,0.0,299.0,1,1.2108713896551855,0.0
3303,3303,0.9014326611488936,0.9,0,458.0,725.0,0.0,107.0,1,1.100682713655539,0.0
3304,3304,0.2548510106187347,0.3,0,375.0,632.0,0.0,403.0,1,0.501863978970178,0.0
3305,3305,0.982650956173857,1.0,0,488.0,815.0,0.0,257.0,1,0.5210755187603453,0.0
3306,3306,-0.20844353166379936,-0.2,1,495.0,543.0,1.0,212.0,1,1.0908814173249302,0.0
3307,3307,0.921869940625756,0.9,0,306.0,807.0,0.0,217.0,1,0.6258458795732098,0.0
3308,3308,-0.6627002547713008,-0.7,1,278.0,778.0,1.0,284.0,1,0.550337230767366,0.0
3309,3309,0.9678204267971431,1.0,0,317.0,797.0,0.0,136.0,1,0.9993033953519618,0.0
3310,3310,0.6358257468053754,0.6,0,438.0,785.0,0.0,157.0,1,1.1698170377813744,0.0
3311,3311,-0.8202241650329669,-0.8,1,297.0,893.0,1.0,210.0,1,1.0899555073010083,0.0
3312,3312,-0.14590506099792822,-0.1,1,302.0,726.0,0.0,172.0,0,0.9421592759532503,0.0
3313,3313,0.5496741110928558,0.5,0,430.0,895.0,0.0,285.0,1,0.6320203390541101,0.0
3314,3314,0.8969298406618316,0.9,0,384.0,695.0,0.0,111.0,1,1.1921013713301147,0.0
3315,3315,0.11253778169728212,0.1,0,443.0,891.0,0.0,276.0,1,0.8561981587047776,0.0
3316,3316,0.5149910288378572,0.5,0,297.0,772.0,0.0,461.0,1,0.5268645391469362,0.0
3317,3317,-0.5871352393735001,-0.6,1,384.0,568.0,1.0,188.0,1,0.8868921247380386,0.0
3318,3318,-0.7759091766193931,-0.8,1,440.0,893.0,1.0,137.0,1,1.2430450036922398,0.0
3319,3319,0.771036739586344,0.8,0,310.0,969.0,0.0,131.0,1,0.9597216169803621,0.0
3320,3320,-0.5787017141841035,-0.6,1,375.0,749.0,1.0,316.0,1,1.0061074129547312,0.0
3321,3321,0.4947293787283715,0.5,0,362.0,815.0,0.0,73.0,1,1.2445130449723365,0.0
3322,3322,-0.7965735743368743,-0.8,1,291.0,989.0,1.0,220.0,1,0.5621152043157158,0.0
3323,3323,-0.9548364689540294,-1.0,1,397.0,664.0,1.0,189.0,1,0.7204163996937265,0.0
3324,3324,-0.5898191725070261,-0.6,1,360.0,708.0,1.0,272.0,1,0.6477068582918937,0.0
3325,3325,-0.4769019020988492,-0.5,1,315.0,866.0,1.0,429.0,1,0.8743924100564854,0.0
3326,3326,0.9871386292364708,1.0,0,254.0,890.0,0.0,-664.0,1,1.1237149524974737,0.0
3327,3327,-0.5801658059218222,-0.6,1,382.0,823.0,1.0,195.0,1,0.7816464565760682,0.0
3328,3328,-0.20781996031371164,-0.2,1,456.0,731.0,1.0,233.0,1,0.8957840446548281,0.0
3329,3329,-0.8702268294726672,-0.9,1,486.0,895.0,1.0,129.0,1,1.1622596327192674,0.0
3330,3330,-0.5393625021397557,-0.5,1,434.0,779.0,1.0,177.0,1,1.037489871841721,0.0
3331,3331,-0.18722566418141917,-0.2,1,250.0,766.0,0.0,274.0,0,0.6613544538959697,0.0
3332,3332,0.8701025092499843,0.9,0,299.0,793.0,0.0,178.0,1,0.7313870174007155,0.0
3333,3333,0.12429378457564644,0.1,0,320.0,508.0,0.0,132.0,1,0.9056314925829584,0.0
3334,3334,-0.7406525711009531,-0.7,1,481.0,678.0,1.0,171.0,1,0.8247735571950092,0.0
3335,3335,-0.40837311867825044,-0.4,1,296.0,597.0,1.0,207.0,1,0.9679750787505919,0.0
3336,3336,-0.7751792438971217,-0.8,1,445.0,925.0,1.0,410.0,1,0.6194681709913643,0.0
3337,3337,-0.34187956974235023,-0.3,1,404.0,923.0,0.0,243.0,0,0.834554329263875,0.0
3338,3338,0.916273883390029,0.9,0,340.0,866.0,0.0,154.0,1,0.9003911407493239,0.0
3339,3339,0.5125761264419038,0.5,0,411.0,533.0,0.0,146.0,1,0.878277539082485,0.0
3340,3340,-0.8230491334240635,-0.8,1,349.0,700.0,1.0,211.0,1,1.2490508790314812,0.0
3341,3341,0.8678112887490557,0.9,0,311.0,696.0,0.0,133.0,1,0.8395365634659664,0.0
3342,3342,-0.7784735484631107,-0.8,1,459.0,797.0,1.0,244.0,1,0.7407145445170595,0.0
3343,3343,-0.13211359553523905,-0.1,1,451.0,918.0,1.0,221.0,1,0.813855832987417,0.0
3344,3344,0.57289525088834,0.6,0,492.0,639.0,0.0,259.0,1,1.2079822764130024,0.0
3345,3345,0.758841752990153,0.8,0,276.0,866.0,0.0,178.0,1,1.0248055914249719,0.0
3346,3346,-0.49838311588283446,-0.5,1,466.0,728.0,1.0,256.0,1,1.1031602114994232,0.0
3347,3347,0.2670615837215995,0.3,0,392.0,527.0,0.0,281.0,1,0.8236115961681778,0.0
3348,3348,-0.40922225290706393,-0.4,1,285.0,759.0,1.0,186.0,1,1.2239789931889806,0.0
3349,3349,0.5853124944514181,0.6,0,442.0,711.0,0.0,127.0,1,0.9697700128587476,0.0
3350,3350,-0.07638740715486425,-0.1,1,406.0,970.0,0.0,444.0,0,0.5781763723522155,0.0
3351,3351,-0.027198355155239717,-0.0,1,252.0,777.0,0.0,251.0,0,1.0160359705195283,0.0
3352,3352,0.2660595756022017,0.3,0,472.0,619.0,0.0,179.0,1,0.6693403373285441,0.0
3353,3353,-0.6007636248664654,-0.6,1,310.0,679.0,1.0,261.0,1,1.1994652295075336,0.0
3354,3354,0.549003442917493,0.5,0,267.0,857.0,0.0,136.0,1,0.6035064457881447,0.0
3355,3355,0.19950570728693728,0.2,0,476.0,517.0,0.0,357.0,1,0.7485763879525151,0.0
3356,3356,-0.35758961942494794,-0.4,1,425.0,651.0,1.0,344.0,1,0.7742794406364564,0.0
3357,3357,0.6320831723817482,0.6,0,312.0,712.0,0.0,96.0,1,1.0418050357838227,0.0
3358,3358,-0.054486618352368676,-0.1,1,328.0,655.0,0.0,477.0,0,0.6689111283110178,0.0
3359,3359,0.898350813784863,0.9,0,490.0,688.0,0.0,92.0,1,1.187321481765983,0.0
3360,3360,-0.4907006419883737,-0.5,1,394.0,792.0,1.0,184.0,1,0.7543171950073632,0.0
3361,3361,-0.005447389690403259,-0.0,1,304.0,538.0,0.0,518.0,0,0.5573719115586748,0.0
3362,3362,0.8870011344640081,0.9,0,436.0,956.0,0.0,238.0,1,0.5552987318813776,0.0
3363,3363,0.5448025214812835,0.5,0,421.0,725.0,0.0,174.0,1,1.128835231708969,0.0
3364,3364,0.8771747479465597,0.9,0,494.0,653.0,0.0,183.0,1,0.7682369825961076,0.0
3365,3365,-0.9519580386962387,-1.0,1,342.0,592.0,1.0,156.0,1,0.7128779623907612,0.0
3366,3366,-0.07062587937724651,-0.1,1,349.0,540.0,0.0,421.0,0,0.6312479695496551,0.0
3367,3367,0.4310298331500546,0.4,0,453.0,805.0,0.0,272.0,1,0.9938585262322664,0.0
3368,3368,0.607949301481129,0.6,0,390.0,588.0,0.0,232.0,1,0.6178592025737228,0.0
3369,3369,-0.9720569821848526,-1.0,1,380.0,965.0,1.0,135.0,1,1.1785818386653402,0.0
3370,3370,0.7364884241721341,0.7,0,446.0,959.0,0.0,135.0,1,1.1952152084706664,0.0
3371,3371,0.7385464775208566,0.7,0,371.0,544.0,0.0,75.0,1,1.2352342598639356,0.0
3372,3372,0.27521304687110537,0.3,0,282.0,947.0,0.0,271.0,1,0.8364044652415786,0.0
3373,3373,0.8486887696212615,0.8,0,499.0,907.0,0.0,184.0,1,0.5125575289554152,0.0
3374,3374,0.601444064006865,0.6,0,293.0,992.0,0.0,135.0,1,1.0020419145601687,0.0
3375,3375,0.9313789482876831,0.9,0,442.0,896.0,0.0,132.0,1,0.7445317158744705,0.0
3376,3376,-0.6440816894765242,-0.6,1,445.0,603.0,1.0,252.0,1,1.1833846917770263,0.0
3377,3377,0.5575151297170358,0.6,0,453.0,561.0,0.0,166.0,1,0.9447194226473437,0.0
3378,3378,-0.03323480685255964,-0.0,1,474.0,726.0,0.0,360.0,0,0.5698642923887786,0.0
3379,3379,-0.6312931924829464,-0.6,1,498.0,623.0,1.0,179.0,1,1.2350067512870018,0.0
3380,3380,0.5419174478166702,0.5,0,492.0,813.0,0.0,235.0,1,0.947128063035396,0.0
3381,3381,-0.48653531130165395,-0.5,1,310.0,913.0,1.0,417.0,1,0.6762688296559778,0.0
3382,3382,-0.7068774582411126,-0.7,1,315.0,772.0,1.0,183.0,1,1.0428259460395966,0.0
3383,3383,-0.5985895616662513,-0.6,1,369.0,963.0,1.0,328.0,1,0.7937647807637628,0.0
3384,3384,-0.8330939612607227,-0.8,1,306.0,756.0,1.0,288.0,1,0.7488837931318477,0.0
3385,3385,-0.740498125811641,-0.7,1,275.0,608.0,1.0,287.0,1,0.5727542737401883,0.0
3386,3386,0.1963718273446866,0.2,0,443.0,574.0,0.0,183.0,1,1.2457718293220348,0.0
3387,3387,-0.7052828699125091,-0.7,1,376.0,513.0,1.0,151.0,1,1.0071103613346328,0.0
3388,3388,-0.4169980968761646,-0.4,1,400.0,636.0,1.0,134.0,1,0.6753174992504332,0.0
3389,3389,-0.09916367925580838,-0.1,1,440.0,807.0,1.0,293.0,1,1.2186107850588639,0.0
3390,3390,-0.44948045554588356,-0.4,1,362.0,987.0,1.0,161.0,1,0.7942142201652184,0.0
3391,3391,-0.7572908562932801,-0.8,1,452.0,655.0,1.0,223.0,1,1.245410146104176,0.0
3392,3392,0.8938784812238292,0.9,0,445.0,589.0,0.0,126.0,1,0.8006032114240799,0.0
3393,3393,-0.9678937540342012,-1.0,1,272.0,525.0,1.0,233.0,1,0.6763809606180128,0.0
3394,3394,0.28265015018918294,0.3,0,496.0,984.0,0.0,110.0,1,0.7401525847236345,0.0
3395,3395,0.0029991124599240138,0.0,0,420.0,963.0,0.0,487.0,1,0.6813713356624722,0.0
3396,3396,0.8848805717730608,0.9,0,310.0,654.0,0.0,146.0,1,0.8368113944237848,0.0
3397,3397,-0.664048514826888,-0.7,1,385.0,811.0,1.0,154.0,1,1.0440138193629755,0.0
3398,3398,-0.046199992437358395,-0.0,1,485.0,797.0,0.0,248.0,0,0.7434066751002297,0.0
3399,3399,-0.526705544613387,-0.5,1,482.0,797.0,1.0,201.0,1,0.973774385303345,0.0
3400,3400,-0.6590274594229251,-0.7,1,439.0,548.0,1.0,193.0,1,0.7590460700434981,0.0
3401,3401,-0.47823525929818933,-0.5,1,268.0,568.0,1.0,124.0,1,1.2082160223274576,0.0
3402,3402,-0.39022188979160677,-0.4,1,470.0,714.0,1.0,356.0,1,1.2483809027590684,0.0
3403,3403,-0.8833227288422789,-0.9,1,360.0,690.0,1.0,150.0,1,0.8238157470070984,0.0
3404,3404,-0.6527571698910084,-0.7,1,259.0,656.0,1.0,205.0,1,0.9836093709302719,0.0
3405,3405,0.3710330737850829,0.4,0,318.0,715.0,0.0,177.0,1,1.0562001777866346,0.0
3406,3406,0.8479842286341133,0.8,0,494.0,890.0,0.0,136.0,1,1.1471247799345554,0.0
